2026-06-24 01:44:36 status half-configured gpg-wks-server:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpg-wks-server:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gpg-wks-client:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpg-wks-client:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gpg-wks-client:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpg-wks-client:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 configure gnupg:all 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gnupg:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gnupg:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gnupg:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 trigproc libc-bin:arm64 2.36-9+deb12u14 <none>
2026-06-24 01:44:36 status half-configured libc-bin:arm64 2.36-9+deb12u14
2026-06-24 01:44:36 status installed libc-bin:arm64 2.36-9+deb12u14
2026-06-24 01:44:36 trigproc ca-certificates:all 20230311+deb12u1 <none>
2026-06-24 01:44:36 status half-configured ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:37 status installed ca-certificates:all 20230311+deb12u1
2026-06-24 02:35:02 startup archives unpack
2026-06-24 02:35:03 install perl-modules-5.36:all <none> 5.36.0-7+deb12u3
2026-06-24 02:35:03 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u3
2026-06-24 02:35:03 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u3
2026-06-24 02:35:03 install libgdbm6:arm64 <none> 1.23-3
2026-06-24 02:35:03 status triggers-pending libc-bin:arm64 2.36-9+deb12u14
2026-06-24 02:35:03 status half-installed libgdbm6:arm64 1.23-3
2026-06-24 02:35:03 status unpacked libgdbm6:arm64 1.23-3
2026-06-24 02:35:03 install libgdbm-compat4:arm64 <none> 1.23-3
2026-06-24 02:35:03 status half-installed libgdbm-compat4:arm64 1.23-3
2026-06-24 02:35:03 status unpacked libgdbm-compat4:arm64 1.23-3
2026-06-24 02:35:03 install libperl5.36:arm64 <none> 5.36.0-7+deb12u3
2026-06-24 02:35:03 status half-installed libperl5.36:arm64 5.36.0-7+deb12u3
